m=1000 n=1000 k=1000
Testing file ran 10 times
Single Precision
RQ Reference: 1.7005515098571777e-01
RQ New: 1.6256594657897949e-01
LQ AOCL: 1.6804599761962891e-01
LQ Reference: 1.6882491111755371e-01
LQ New: 1.6247582435607910e-01
m=2000 n=1000 k=1000
Testing file ran 10 times
Single Precision
QR AOCL: 4.8099994659423828e-02
QR Reference: 4.8784971237182617e-02
QR New: 5.6648015975952148e-02
QL AOCL: 4.8517227172851562e-02
QL Reference: 4.9489974975585938e-02
QL New: 5.6582927703857422e-02
RQ AOCL: 6.8900823593139648e-02
RQ Reference: 6.8260908126831055e-02
RQ New: 6.2744140625000000e-02
LQ AOCL: 6.9030046463012695e-02
LQ Reference: 7.5820922851562500e-02
LQ New: 6.2417984008789062e-02
Double Precision
QR AOCL: 9.3657970428466797e-02
QR Reference: 9.4006061553955078e-02
QR New: 9.8407983779907227e-02
QL AOCL: 9.4743967056274414e-02
QL Reference: 9.5735073089599609e-02
QL New: 9.7746849060058594e-02
RQ AOCL: 1.2256503105163574e-01
RQ Reference: 1.2341117858886719e-01
RQ New: 1.1697697639465332e-01
LQ AOCL: 1.2333202362060547e-01
LQ Reference: 1.3278412818908691e-01
LQ New: 1.1584901809692383e-01
Single Complex Precision
QR AOCL: 2.0037102699279785e-01
QR Reference: 2.0124983787536621e-01
QR New: 1.9042897224426270e-01
QL AOCL: 2.0401883125305176e-01
QL Reference: 2.0703792572021484e-01
QL New: 1.9131207466125488e-01
RQ AOCL: 2.2081995010375977e-01
RQ Reference: 2.2235989570617676e-01
RQ New: 2.1162509918212891e-01
LQ AOCL: 2.2001409530639648e-01
LQ Reference: 2.2339987754821777e-01
LQ New: 2.1093511581420898e-01
Double Complex Precision
QR AOCL: 4.1552805900573730e-01
QR Reference: 4.1548204421997070e-01
QR New: 3.6761498451232910e-01
QL AOCL: 4.1775202751159668e-01
QL Reference: 4.1863298416137695e-01
QL New: 3.6834096908569336e-01
RQ AOCL: 4.6653008460998535e-01
RQ Reference: 4.7628307342529297e-01
RQ New: 4.2801094055175781e-01
LQ AOCL: 4.6644902229309082e-01
LQ Reference: 4.6226406097412109e-01
LQ New: 4.2910504341125488e-01
Single Precision
QR AOCL: 4.7760963439941406e-02
QR Reference: 4.8320055007934570e-02
QR New: 5.6383848190307617e-02
QL AOCL: 4.8041105270385742e-02
QL Reference: 4.9054861068725586e-02
QL New: 5.6691884994506836e-02
RQ AOCL: 6.9699048995971680e-02
RQ Reference: 7.0667982101440430e-02
RQ New: 6.2170982360839844e-02
LQ AOCL: 6.9283008575439453e-02
LQ Reference: 7.8608036041259766e-02
LQ New: 6.1757087707519531e-02
Double Precision
QR AOCL: 9.2576026916503906e-02
QR Reference: 9.3163013458251953e-02
QR New: 9.8720788955688477e-02
QL AOCL: 9.3653917312622070e-02
QL Reference: 9.4571113586425781e-02
QL New: 9.7490072250366211e-02
RQ AOCL: 1.2070393562316895e-01
RQ Reference: 1.2160706520080566e-01
RQ New: 1.1445403099060059e-01
LQ AOCL: 1.3665819168090820e-01
LQ Reference: 1.3170385360717773e-01
LQ New: 1.1467099189758301e-01
Single Complex Precision
QR AOCL: 1.9975590705871582e-01
QR Reference: 2.0123887062072754e-01
QR New: 1.8960905075073242e-01
QL AOCL: 2.0601701736450195e-01
QL Reference: 2.0645093917846680e-01
QL New: 1.9934201240539551e-01
RQ AOCL: 2.2229003906250000e-01
RQ Reference: 2.2240996360778809e-01
RQ New: 2.1214818954467773e-01
LQ AOCL: 2.2074103355407715e-01
LQ Reference: 2.3195385932922363e-01
LQ New: 2.1082806587219238e-01
Double Complex Precision
QR AOCL: 4.1676783561706543e-01
